mutant_id,average_fitness,fitseq2_fitness,difference
0,0.0272745114872472,-0.239479174240517,0.2667536857277642
1,-0.9721395373460342,-0.0799553770706163,-0.8921841602754179
2,-0.37672725286483183,-0.0217294523850529,-0.3549978004797789
5,-0.16336659311471902,-0.0097709989521795,-0.1535955941625395
6,0.0222132029683926,-0.009442656794087,0.0316558597624796
7,-0.35933902408582896,-0.0251955824841954,-0.33414344160163356
8,0.03259409552838524,0.003461697670347,0.029132397858038242
9,-0.47666819999083954,-0.0228163058814391,-0.4538518941094004
11,-0.4361948153541024,-0.0394461853696774,-0.396748629984425
12,-0.6229594733221197,-0.0384526690269575,-0.5845068042951621
13,-0.39425418609200497,-0.0787685131501132,-0.3154856729418918
14,-0.5145255591359181,-0.0277265382069134,-0.48679902092900473
15,-0.5835613436447479,-0.0222362344616853,-0.5613251091830626
16,-0.478253844931754,-0.016904101810272,-0.46134974312148197
17,-0.4777275283647111,-0.013131629645,-0.46459589871971113
18,-0.3039537263501441,-0.0031874909369206,-0.3007662354132235
19,-0.1609375854135726,0.0006486541471736,-0.1615862395607462
20,-0.5606233219082123,-0.0130928560574737,-0.5475304658507386
21,-0.4554636503325097,-0.0197106427531388,-0.4357530075793709
22,-0.5482558284263492,-0.018157158923429,-0.5300986695029203
23,-0.3345454124982048,-0.036546010155795,-0.2979994023424098
24,-0.7381732382491716,-0.0390443972673558,-0.6991288409818158
25,-0.500781158256401,-0.0377587690500558,-0.4630223892063452
26,-0.5152601351970412,-0.017592457463062,-0.4976676777339792
27,-0.48440262545560053,-0.0434304542164089,-0.44097217123919163
28,-1.4204027024435775,-0.0545376863602159,-1.3658650160833616
29,-0.4241993168213844,-0.0243319981679531,-0.3998673186534313
30,-0.565923436670032,-0.0422808381349486,-0.5236425985350833
31,-0.1483716787298467,-0.0041271758679431,-0.1442445028619036
32,-0.18544198948308904,0.0005068492493498,-0.18594883873243884
33,-0.44100310045757685,-0.0224364142140641,-0.41856668624351273
34,-0.20610389841379861,-0.0007022253509084,-0.20540167306289023
35,-0.23477376348358256,-0.0011578772589224,-0.23361588622466015
36,-0.37476887311549123,-0.0259733052777135,-0.3487955678377777
37,-0.16401933611236302,0.0012886760451464,-0.16530801215750943
38,-0.15426378565221288,0.0014994274969199,-0.15576321314913277
39,-0.5234494610858695,-0.0158235988030907,-0.5076258622827788
40,-0.44530816170511334,-0.0371238064379997,-0.4081843552671136
41,-0.37075596744243916,-0.0332091285340151,-0.3375468389084241
44,-0.4459824216558221,-0.0081763806304584,-0.4378060410253637
45,-0.02510165091329583,0.0045310049436649,-0.029632655856960732
46,-0.6637920544777682,-0.0747119049545221,-0.5890801495232462
47,0.02893185225908558,0.0034578250268488,0.02547402723223678
48,-0.4645769966835207,-0.0191224945609347,-0.445454502122586
49,-0.3808552680116911,-0.0067284144360555,-0.37412685357563563
50,-0.20018204364828124,0.0005390497709094,-0.20072109341919064
51,-0.21048898870500235,0.0002806135315738,-0.21076960223657615
52,-0.4775515958937261,-0.0360313588879101,-0.441520237005816
53,-0.14151725362835293,0.0014375730828066,-0.14295482671115953
54,-0.4004229512089512,-0.0121647934558997,-0.3882581577530515
55,-0.6065052794073739,-0.0104940191917034,-0.5960112602156704
56,-0.15785888425292594,0.0013839966544236,-0.15924288090734953
59,-0.39472264131447676,-0.0265994889987843,-0.3681231523156925
60,-0.38389278279719713,-0.0215020004961192,-0.3623907823010779
61,-0.5748756442083298,-0.0226650955019905,-0.5522105487063393
62,-0.23384866037122926,-0.002208753367603,-0.23163990700362624
65,-0.39775922788560736,-0.0108805542377352,-0.38687867364787215
67,-0.17530184509886138,0.0007231158833743,-0.17602496098223566
68,-0.1706489086099565,0.0007769808862835,-0.17142588949624
70,-0.44943838760527505,-0.0105126343454221,-0.43892575325985295
71,-0.4106790420090015,-0.0313136973206472,-0.3793653446883543
72,-0.6459005856616817,-0.0612602478312493,-0.5846403378304325
74,-0.4215656882452579,-0.0133150849153842,-0.40825060332987373
75,-1.277350946744263,-0.0036960560734209,-1.273654890670842
76,-0.6042016139421993,-0.0285933046147103,-0.575608309327489
78,-0.34071704807536723,-0.0152309795019866,-0.32548606857338064
79,-0.3946438018290502,-0.0272918018358226,-0.3673519999932276
80,-0.49129253785823546,-0.0280418220549196,-0.46325071580331584
81,-0.458761994729159,-0.01921657364643,-0.43954542108272904
82,-0.4914716466437156,-0.030443190571295,-0.4610284560724206
83,0.07705610105986313,0.0036153342558811,0.07344076680398202
84,-0.47696335951404945,-0.0310253845250596,-0.44593797498898985
86,-0.4831463334739127,-0.0260944292361732,-0.4570519042377395
87,-1.026547602337717,-0.0543381923008691,-0.9722094100368478
88,-0.08881681345297568,0.002436016554375,-0.09125283000735068
89,-0.5313343791671161,-0.0103799662723608,-0.5209544128947553
90,-0.12468549511336395,0.0018085059069613,-0.12649400102032526
91,-0.5022346630057909,-0.0332657983749957,-0.4689688646307952
92,-0.47987724437260537,-0.0226865289118707,-0.45719071546073464
94,-0.4415913368372535,-0.010148793885478,-0.4314425429517755
95,-0.40967300036114795,-0.0266825988483607,-0.38299040151278724
96,-0.4484423663991279,-0.028009603742472,-0.42043276265665586
98,-0.1975466116441138,0.0003053650941142,-0.197851976738228
99,-0.4495147312050925,-0.0382235325756622,-0.4112911986294303
100,-0.5244616123649469,-0.0365857656801001,-0.48787584668484685
102,-0.43558056350379876,-0.0381849119936602,-0.39739565151013856
103,-0.6655612704907603,-0.0514968614097491,-0.6140644090810112
104,0.031638002660104414,0.0038456067507884,0.027792395909316016
105,-0.4757785165197317,-0.0601493954230959,-0.4156291210966358
106,-0.14704891506352952,0.001736576559553,-0.14878549162308252
107,-0.1522953852159088,0.0014940367368802,-0.153789421952789
108,-0.5115792350312536,-0.0441289042503406,-0.46745033078091297
110,-0.7310456094026531,-0.045836949382026,-0.6852086600206271
112,-0.43371948694207996,-0.0101130789675181,-0.42360640797456184
113,-0.4456332594176205,-0.0599194812464543,-0.3857137781711662
114,-0.19438645012498104,-0.0012308106627935,-0.19315563946218753
115,-0.8214140695847721,-0.0285623121788519,-0.7928517574059203
116,-0.6722269775576069,-0.0304487175940334,-0.6417782599635734
117,-0.11130092798699083,0.0021343773580641,-0.11343530534505493
118,-0.11775026007082579,0.0013692809465912,-0.11911954101741698
119,-0.33972102686922007,-0.0114721113689023,-0.32824891550031776
121,-0.33800475276773234,-0.0100421489993862,-0.32796260376834613
123,-0.137251666943591,0.00183162720005,-0.139083294143641
125,-0.6122089914184187,-0.0124246751931688,-0.5997843162252499
126,-0.16589966213332624,0.000957233423037,-0.16685689555636324
127,-0.12791603208266927,0.0013873230604292,-0.1293033551430985
128,-0.5404336536042605,-0.0323421041334376,-0.5080915494708229
129,-0.8599515258717593,-0.0741562876520361,-0.7857952382197232
130,-0.22810831367543044,-0.0005899402754978,-0.22751837339993264
131,-0.47431913757216865,-0.039372846993175,-0.43494629057899364
132,0.14843956367042932,0.0140101063077264,0.13442945736270293
134,-0.11621390215689725,0.0013303331799104,-0.11754423533680765
135,-0.4227731151802889,-0.0160543870282094,-0.40671872815207954
136,-0.18023556662314485,0.0004725939791756,-0.18070816060232045
137,-0.3646451073617943,-0.0053453862363858,-0.3592997211254085
138,-0.4367450730291821,-0.0106628319902986,-0.4260822410388835
140,-0.4761351501425324,-0.0454889401143785,-0.4306462100281539
141,-0.5294476819300891,-0.0361980591254029,-0.49324962280468615
142,-0.49402275559761655,-0.0180845454127759,-0.47593821018484067
143,-0.6069494509831105,-0.0193875679693372,-0.5875618830137733
144,-0.5553248496144645,-0.0273372596279966,-0.5279875899864679
145,-0.47206312883820584,-0.0427118872479166,-0.42935124159028926
146,-0.16970143547188155,0.0006596749299911,-0.17036111040187266
148,-0.2631039450191176,-0.0034848758071403,-0.2596190692119773
149,-0.5431637431260291,-0.065847502766969,-0.4773162403590601
150,-0.5083776630491628,-0.0315026463156896,-0.47687501673347316
151,-0.4577534728979703,-0.0314238373919643,-0.426329635506006
152,-0.5874245558263942,-0.0476970904473593,-0.5397274653790349
153,-0.529209018373099,-0.0322513544970997,-0.49695766387599927
154,-0.02305166826648576,0.0030909120044589,-0.02614258027094466
155,-0.5630157394345494,-0.0290595313194336,-0.5339562081151158
157,-0.31870313090389113,-0.0043691397836604,-0.31433399112023075
158,-0.19615772546200008,0.0001943420946566,-0.19635206755665668
159,-0.2068592511109663,-0.0080465397453869,-0.1988127113655794
160,-0.380682595490366,-0.0158460227927292,-0.3648365726976368
162,-0.21149092181194593,-0.0009861377514387,-0.21050478406050724
163,-0.45471108935981175,-0.0218393101727218,-0.43287177918708997
164,-0.632883053255107,-0.0570043867815951,-0.5758786664735118
165,-0.5806661531676096,-0.0355466570030469,-0.5451194961645627
166,-0.6447968257306477,-0.029088339357964,-0.6157084863726837
167,-0.5107864967155931,-0.0471432098254847,-0.46364328689010836
168,-0.5018728682524953,-0.0072039486332429,-0.4946689196192524
170,-0.5249750170940081,-0.0107280423785637,-0.5142469747154443
171,-0.34955141778410925,-0.0226333749941143,-0.326918042789995
172,0.23327721210336017,0.0055621870597189,0.22771502504364127
173,-0.6085590970818859,-0.0431787667371911,-0.5653803303446948
174,-0.14616632882450298,0.001411119828972,-0.14757744865347497
175,-0.14131419701151632,0.0015711030620937,-0.14288530007361003
176,-0.1513126805633909,0.0017442573551274,-0.1530569379185183
177,-0.5285863520793235,-0.0325680809923114,-0.4960182710870121
178,-0.6172757643337203,-0.022392718784717,-0.5948830455490033
179,-0.5440427625824253,-0.0396427275102294,-0.504400035072196
180,-0.49126934030783015,-0.0409589464169425,-0.4503103938908877
181,-0.4222050758286042,-0.0375958507870454,-0.3846092250415588
182,-0.12800038337907527,0.0015281726471335,-0.12952855602620877
183,-0.21936968343058905,-0.000715339887113,-0.21865434354347604
184,-0.1490567509815117,0.0014009527624585,-0.1504577037439702
185,-0.13663576310956793,0.0014749085922714,-0.13811067170183933
186,-0.5825458878381772,-0.0379872646207873,-0.5445586232173899
187,-0.3470760893720868,-0.0191206929679819,-0.32795539640410487
188,-0.5171854325026357,-0.0400927396409585,-0.4770926928616772
189,-0.676241921235371,-0.0206982234065566,-0.6555436978288144
190,-0.25149709503995227,-0.0015995300467772,-0.24989756499317506
191,-0.3513527382999191,-0.0065958654196602,-0.3447568728802589
192,-0.4860582787993531,-0.0233872036686833,-0.4626710751306698
193,-0.17082858019744196,0.0011569857365272,-0.17198556593396916
194,-0.49938600425940854,-0.0083524644053098,-0.49103353985409876
195,-0.555066851586858,-0.0172889801889177,-0.5377778713979403
196,-0.2116613295062293,0.0001612129735089,-0.2118225424797382
197,0.25717851605194997,0.0132653606784093,0.24391315537354066
198,-0.7911396898504979,-0.0427925955133034,-0.7483470943371945
200,-0.3286947215330824,-0.0041343725560257,-0.32456034897705666
201,-0.1016297737205291,6.358726893257619e-05,-0.10169336098946168
202,-0.5521931618087708,-0.0483757826086122,-0.5038173792001586
203,-0.4740955045591214,-0.009423578049471,-0.4646719265096504
204,-0.4328833634232304,-0.0063160063649416,-0.4265673570582888
