mutant_id,clim_static,clim_component,nlim_component,nlim_static,clim_diff,nlim_diff
0,0.0272745114872472,-0.2762924612471033,0.08984628804637594,-0.31269708762266274,-0.3035669727343505,0.4025433756690387
1,-0.1421324275217838,0.14393037548980514,-0.49453511905548897,-0.15855046925652147,0.28606280301158893,-0.33598464979896747
2,-0.3767272528648317,-0.01734481122150442,-0.30543466570638883,-0.2527836330977273,0.3593824416433273,-0.05265103260866155
5,-0.49350267558847305,-0.7497577954869606,-0.7030340045639685,-0.23482746315790254,-0.2562551198984876,-0.46820654140606593
7,-0.24551354329988892,0.32299148597111627,-0.253957406410542,0.09825307604395914,0.5685050292710052,-0.35221048245450115
8,0.03259409552838524,0.10781649334576263,0.058096370014150855,-0.051604148884960406,0.07522239781737738,0.10970051889911125
9,-0.35832724320088943,0.17643178991295855,-0.423648644770834,-0.025661631495494656,0.534759033113848,-0.39798701327533936
11,-0.0567768249456847,-0.1146288503405052,-0.33780021855624653,-0.09886798182934291,-0.0578520253948205,-0.2389322367269036
12,-0.2607503466697405,0.8421127917605811,-0.7045689242820522,0.03718973072012238,1.1028631384303216,-0.7417586550021746
13,0.956479861146326,-0.032112914237255194,-0.6433318301785033,0.05748494348761133,-0.9885927753835811,-0.7008167736661146
14,-0.5145255591359181,0.028172635203135222,0.20956385254425997,0.014947031927889301,0.5426981943390533,0.19461682061637067
15,-0.2826173797815792,-0.2939974129410672,-0.4317206897759589,-0.1325400342231163,-0.01138003315948799,-0.29918065555284257
16,-0.40066412453406314,0.22930731996566528,-0.18816414282118105,-0.03814710278544716,0.6299714444997284,-0.15001704003573388
17,-0.4777275283647111,0.9328023817761022,0.08723855447035728,0.16951675718963474,1.4105299101408133,-0.08227820271927747
18,-0.3039537263501441,-0.11605478450952549,-0.2707664881374043,-0.07660614090941079,0.18789894184061862,-0.1941603472279935
19,-0.1609375854135726,0.5083812109202102,0.19605107700720203,0.22146226557525117,0.6693187963337828,-0.025411188568049137
20,-0.465642588322511,0.2506976898778169,-0.2770427506192425,0.057787102958236546,0.7163402782003279,-0.334829853577479
21,-0.36904435118668594,0.19659560387991568,-0.2430015129147479,-0.0004178145084053104,0.5656399550666016,-0.24258369840634258
22,-0.322901793692343,-0.14197202783509788,-0.41295903838376985,-0.17127448454496635,0.18092976585724513,-0.2416845538388035
23,0.08508063208981335,-0.006627623276861921,-0.2795674302861777,0.012157675988387573,-0.09170825536667528,-0.29172510627456527
25,-0.18747184300445977,0.1157202163597311,-0.2627977405065471,0.19385304691482658,0.30319205936419086,-0.45665078742137366
26,-0.38606237287532164,-0.2450174320959322,-0.21725615565845843,-0.14227071180859338,0.14104494077938942,-0.07498544384986505
27,-0.14221434422158313,-0.29044417041341797,-0.3001835106645336,0.021592080133927955,-0.14822982619183483,-0.3217755907984615
29,-0.3002124108635238,0.3181489384764127,-0.2302822998577027,0.15078253109478595,0.6183613493399365,-0.38106483095248866
30,0.21817620591525913,-0.1917518520237287,-0.1469741143615341,-0.05685450874825478,-0.40992805793898784,-0.09011960561327931
31,-0.1483716787298467,0.24100545095242082,-0.4132957319133002,0.11674538894751026,0.3893771296822675,-0.5300411208608105
32,-0.18544198948308904,-0.2527696124022729,0.3243962959258798,-0.18895285877555046,-0.06732762291918387,0.5133491547014303
33,-0.3529296132693456,0.27639721318123944,-0.2491392587762754,-0.07107372010787676,0.629326826450585,-0.17806553866839864
34,-0.20610389841379861,-0.12490384796229259,0.07063930472588796,0.02887938402421597,0.08120005045150602,0.04175992070167199
36,-0.32010949982400577,-0.07077657524502062,-0.1531677139291439,0.24184868019859584,0.24933292457898515,-0.39501639412773976
37,-0.16401933611236302,0.2607816335276987,-0.2257058755512984,0.01689567414506286,0.4248009696400617,-0.24260154969636125
38,-0.15426378565221288,0.2584853413891552,-0.20812245853817699,-0.10715607804096629,0.41274912704136807,-0.1009663804972107
39,-0.5537754840452833,0.01166284205163822,-0.06330716215704432,-0.0682901773899071,0.5654383260969216,0.004983015232862778
40,-0.20119461742257547,-0.13614072315832232,-0.016365022294423003,0.04573533930459176,0.06505389426425315,-0.06210036159901476
41,-0.3588691667788907,0.07649114291303824,-0.21301505942206825,-0.08805978139687766,0.43536030969192896,-0.12495527802519059
44,-0.36469609870997216,0.14072730981879286,-0.26511322787217173,0.1052035618616536,0.505423408528765,-0.3703167897338253
45,-0.02510165091329583,-0.06226544604125815,-0.09528831878138863,-0.1199020759063196,-0.03716379512796232,0.02461375712493097
46,0.0492262780943805,0.2540564153256361,0.23464019564396535,-0.36793698299154054,0.2048301372312556,0.6025771786355059
47,0.02893185225908558,0.2430257838441027,-0.154150623965681,-0.05370073960905718,0.2140939315850171,-0.10044988435662382
48,-0.3856061640570652,-0.09474224908375577,-0.2282326868761368,0.14427639166806222,0.29086391497330943,-0.372509078544199
49,-0.3808552680116911,-0.04794124730241339,-0.1458068412350221,0.06517279673547798,0.3329140207092777,-0.21097963797050007
