mutant_id,avg_fitness_clim,avg_fitness_nlim,fitness_diff,clim_component,nlim_component,clim_memory,nlim_memory
0,0.0272745114872472,-0.31269708762266274,0.3399715991099099,0.2762924612471033,0.08984628804637594,0.24901794975985614,0.4025433756690387
1,-0.1421324275217838,-0.15855046925652147,0.01641804173473768,0.14393037548980514,0.49453511905548897,0.28606280301158893,0.6530855883120105
2,-0.3767272528648317,-0.2527836330977273,-0.12394361976710444,0.01734481122150442,0.30543466570638883,0.39407206408633616,0.5582182988041161
5,-0.49350267558847305,-0.23482746315790254,-0.2586752124305705,0.7497577954869606,0.7030340045639685,1.2432604710754336,0.9378614677218711
7,-0.24551354329988892,0.09825307604395914,-0.34376661934384806,0.32299148597111627,0.253957406410542,0.5685050292710052,0.15570433036658285
8,0.03259409552838524,-0.051604148884960406,0.08419824441334564,0.10781649334576263,0.058096370014150855,0.07522239781737738,0.10970051889911125
9,-0.35832724320088943,-0.025661631495494656,-0.33266561170539477,0.17643178991295855,0.423648644770834,0.534759033113848,0.4493102762663287
11,-0.0567768249456847,-0.09886798182934291,0.04209115688365821,0.1146288503405052,0.33780021855624653,0.17140567528618988,0.43666820038558946
12,-0.2607503466697405,0.03718973072012238,-0.2979400773898629,0.8421127917605811,0.7045689242820522,1.1028631384303216,0.6673791935619298
13,0.956479861146326,0.05748494348761133,0.8989949176587146,0.032112914237255194,0.6433318301785033,-0.9243669469090708,0.5858468866908919
14,-0.5145255591359181,0.014947031927889301,-0.5294725910638074,0.028172635203135222,0.20956385254425997,0.5426981943390533,0.19461682061637067
15,-0.2826173797815792,-0.1325400342231163,-0.1500773455584629,0.2939974129410672,0.4317206897759589,0.5766147927226464,0.5642607239990752
16,-0.40066412453406314,-0.03814710278544716,-0.362517021748616,0.22930731996566528,0.18816414282118105,0.6299714444997284,0.22631124560662821
17,-0.4777275283647111,0.16951675718963474,-0.6472442855543459,0.9328023817761022,0.08723855447035728,1.4105299101408133,-0.08227820271927747
18,-0.3039537263501441,-0.07660614090941079,-0.22734758544073333,0.11605478450952549,0.2707664881374043,0.4200085108596696,0.3473726290468151
19,-0.1609375854135726,0.22146226557525117,-0.3823998509888238,0.5083812109202102,0.19605107700720203,0.6693187963337828,-0.025411188568049137
20,-0.465642588322511,0.057787102958236546,-0.5234296912807476,0.2506976898778169,0.2770427506192425,0.7163402782003279,0.21925564766100594
21,-0.36904435118668594,-0.0004178145084053104,-0.3686265366782806,0.19659560387991568,0.2430015129147479,0.5656399550666016,0.2434193274231532
22,-0.322901793692343,-0.17127448454496635,-0.15162730914737665,0.14197202783509788,0.41295903838376985,0.4648738215274409,0.5842335229287362
23,0.08508063208981335,0.012157675988387573,0.07292295610142578,0.006627623276861921,0.2795674302861777,-0.07845300881295143,0.2674097542977901
25,-0.18747184300445977,0.19385304691482658,-0.38132488991928637,0.1157202163597311,0.2627977405065471,0.30319205936419086,0.06894469359172051
26,-0.38606237287532164,-0.14227071180859338,-0.24379166106672825,0.2450174320959322,0.21725615565845843,0.6310798049712538,0.3595268674670518
27,-0.14221434422158313,0.021592080133927955,-0.1638064243555111,0.29044417041341797,0.3001835106645336,0.4326585146350011,0.27859143053060564
29,-0.3002124108635238,0.15078253109478595,-0.45099494195830975,0.3181489384764127,0.2302822998577027,0.6183613493399365,0.07949976876291676
30,0.21817620591525913,-0.05685450874825478,0.2750307146635139,0.1917518520237287,0.1469741143615341,-0.026424353891530417,0.2038286231097889
31,-0.1483716787298467,0.11674538894751026,-0.26511706767735693,0.24100545095242082,0.4132957319133002,0.3893771296822675,0.29655034296578997
32,-0.18544198948308904,-0.18895285877555046,0.003510869292461416,0.2527696124022729,0.3243962959258798,0.43821160188536196,0.5133491547014303
33,-0.3529296132693456,-0.07107372010787676,-0.2818558931614688,0.27639721318123944,0.2491392587762754,0.629326826450585,0.3202129788841522
34,-0.20610389841379861,0.02887938402421597,-0.23498328243801458,0.12490384796229259,0.07063930472588796,0.3310077463760912,0.04175992070167199
36,-0.32010949982400577,0.24184868019859584,-0.5619581800226017,0.07077657524502062,0.1531677139291439,0.3908860750690264,-0.08868096626945193
37,-0.16401933611236302,0.01689567414506286,-0.18091501025742587,0.2607816335276987,0.2257058755512984,0.4248009696400617,0.20881020140623555
38,-0.15426378565221288,-0.10715607804096629,-0.047107707611246594,0.2584853413891552,0.20812245853817699,0.41274912704136807,0.3152785365791433
39,-0.5537754840452833,-0.0682901773899071,-0.4854853066553762,0.01166284205163822,0.06330716215704432,0.5654383260969216,0.1315973395469514
40,-0.20119461742257547,0.04573533930459176,-0.24692995672716722,0.13614072315832232,0.016365022294423003,0.33733534058089776,-0.029370317010168758
41,-0.3588691667788907,-0.08805978139687766,-0.27080938538201305,0.07649114291303824,0.21301505942206825,0.43536030969192896,0.3010748408189459
44,-0.36469609870997216,0.1052035618616536,-0.46989966057162574,0.14072730981879286,0.26511322787217173,0.505423408528765,0.15990966601051815
45,-0.02510165091329583,-0.1199020759063196,0.09480042499302377,0.06226544604125815,0.09528831878138863,0.08736709695455398,0.21519039468770823
46,0.0492262780943805,-0.36793698299154054,0.41716326108592106,0.2540564153256361,0.23464019564396535,0.2048301372312556,0.6025771786355059
47,0.02893185225908558,-0.05370073960905718,0.08263259186814276,0.2430257838441027,0.154150623965681,0.2140939315850171,0.20785136357473816
48,-0.3856061640570652,0.14427639166806222,-0.5298825557251274,0.09474224908375577,0.2282326868761368,0.480348413140821,0.08395629520807457
49,-0.3808552680116911,0.06517279673547798,-0.4460280647471691,0.04794124730241339,0.1458068412350221,0.4287965153141045,0.08063404449954413
50,-0.20018204364828124,0.1691401366202074,-0.3693221802684886,0.21593333693641073,0.15471061503821573,0.416115380584692,-0.014429521581991678
51,-0.21048898870500235,-0.1726742539675698,-0.03781473473743255,0.10192691174894486,0.07533103136546904,0.3124159004539472,0.24800528533303884
52,0.04429821805147064,0.0047782967017860134,0.03951992134968463,0.002786810404994247,0.05856919327527618,-0.04151140764647639,0.05379089657349017
53,-0.14151725362835293,-0.08558815747263562,-0.05592909615571731,0.3069539889464267,0.3101532376299994,0.44847124257477966,0.39574139510263506
54,-0.4004229512089512,0.26296622104669287,-0.6633891722556441,0.06034377864964727,0.31998068588507816,0.46076672985859846,0.05701446483838529
55,-0.37497229394967646,-0.03251012610822599,-0.34246216784145045,0.12718828706923285,0.2210769023668411,0.5021605810189094,0.2535870284750671
56,-0.15785888425292594,0.13482626313288099,-0.2926851473858069,0.26510502728837515,0.22015676021468333,0.4229639115413011,0.08533049708180235
