strain_id,initial_fitness,reads_t0,frequency_t0,reads_t1,frequency_t1,reads_t2,frequency_t2,reads_t3,frequency_t3,reads_t4,frequency_t4,reads_t5,frequency_t5,reads_t6,frequency_t6,reads_t7,frequency_t7,reads_t8,frequency_t8,reads_t9,frequency_t9,reads_t10,frequency_t10,avg_fitness_t0,avg_fitness_t1,avg_fitness_t2,avg_fitness_t3,avg_fitness_t4,avg_fitness_t5,avg_fitness_t6,avg_fitness_t7,avg_fitness_t8,avg_fitness_t9,avg_fitness_t10
strain_10,0.9536582307187538,1250000,0.00025,1085,3.866231622801487e-06,0,3.6468436886112264e-10,0,1.1637009856603121e-14,0,3.4318682576201524e-19,0,9.916496258774612e-24,0,2.8115487868664243e-28,0,7.532776028085629e-33,0,2.034433583110706e-37,0,5.773318018138469e-42,0,1.873614343962899e-46,1.0019320822460183,1.260327954791872,1.3782621774857235,1.3885022279271055,1.3899760165306012,1.390435540381858,1.3907244436918509,1.3909668193685178,1.391182384448969,1.3913746243437652,1.391544799220192
strain_11,0.9534270246429744,1250000,0.00025,1079,3.844842376769761e-06,0,3.6066165975356927e-10,0,1.1445280539358828e-14,0,3.357215207399879e-19,0,9.649207120802694e-24,0,2.7211244143784064e-28,0,7.249983256489135e-33,0,1.9471263334982445e-37,0,5.494977384783629e-42,0,1.7739741301530955e-46,1.0019320822460183,1.260327954791872,1.3782621774857235,1.3885022279271055,1.3899760165306012,1.390435540381858,1.3907244436918509,1.3909668193685178,1.391182384448969,1.3913746243437652,1.391544799220192
strain_12,1.0241962271566034,1250000,0.00025,5898,2.101141129804564e-05,3,1.0765886825474869e-08,0,1.8587891987483226e-12,0,2.8979234806730813e-16,0,4.3906804623519116e-20,0,6.573170109499959e-24,0,9.677294309822665e-28,0,1.4426474996416573e-31,0,2.2332632308554776e-35,0,3.712938109136053e-39,1.0019320822460183,1.260327954791872,1.3782621774857235,1.3885022279271055,1.3899760165306012,1.390435540381858,1.3907244436918509,1.3909668193685178,1.391182384448969,1.3913746243437652,1.391544799220192
strain_13,0.8086719755342202,1250000,0.00025,33,1.205933315585532e-07,0,3.5519530790187914e-13,0,3.7248726556351235e-19,0,4.915024665590097e-25,0,6.8619441849394265e-31,0,8.906161093853647e-37,0,7.740073728906977e-43,0,6.545926674167513e-49,0,6.2068954112249496e-55,0,1.1202008473428897e-60,1.0019320822460183,1.260327954791872,1.3782621774857235,1.3885022279271055,1.3899760165306012,1.390435540381858,1.3907244436918509,1.3909668193685178,1.391182384448969,1.3913746243437652,1.391544799220192
strain_14,0.8275082167486967,1250000,0.00025,52,1.8866049753700692e-07,0,8.701442273051354e-13,0,1.409972012532121e-18,0,2.660062959656004e-24,0,5.2301823816286985e-30,0,9.670680105809219e-36,0,1.2944805426656323e-41,0,1.6989522263043553e-47,0,2.464124716762836e-53,0,6.066907681222922e-59,1.0019320822460183,1.260327954791872,1.3782621774857235,1.3885022279271055,1.3899760165306012,1.390435540381858,1.3907244436918509,1.3909668193685178,1.391182384448969,1.3913746243437652,1.391544799220192
strain_15,0.9437712470759028,1250000,0.00025,856,3.0497431229438367e-06,0,2.2695350080433487e-10,0,5.719691452147118e-15,0,1.341009972942657e-19,0,3.087538980481888e-24,0,6.963883479289668e-29,0,1.4702503834986627e-33,0,3.12559135050696e-38,0,6.996926630442893e-43,0,1.8171288062413307e-47,1.0019320822460183,1.260327954791872,1.3782621774857235,1.3885022279271055,1.3899760165306012,1.390435540381858,1.3907244436918509,1.3909668193685178,1.391182384448969,1.3913746243437652,1.391544799220192
strain_16,0.8987168879665576,1250000,0.00025,290,1.035150819682317e-06,0,2.6173188937810524e-11,0,2.258618371853343e-16,0,1.902588221051178e-21,0,1.5982344338941625e-26,0,1.3015961277688197e-31,0,9.32135833578739e-37,0,6.675204660691366e-42,0,5.097735347408024e-47,0,4.958154558830425e-52,1.0019320822460183,1.260327954791872,1.3782621774857235,1.3885022279271055,1.3899760165306012,1.390435540381858,1.3907244436918509,1.3909668193685178,1.391182384448969,1.3913746243437652,1.391544799220192
strain_17,1.0314247332595274,1250000,0.00025,7016,2.4991809495517925e-05,4,1.5231274915196154e-08,0,3.127442867167347e-12,0,5.793447578239723e-16,0,1.0426863194646155e-19,0,1.8549974516026108e-23,0,3.252425459684771e-27,0,5.775352622603368e-31,0,1.0638975095458286e-34,0,2.0969164278785515e-38,1.0019320822460183,1.260327954791872,1.3782621774857235,1.3885022279271055,1.3899760165306012,1.390435540381858,1.3907244436918509,1.3909668193685178,1.391182384448969,1.3913746243437652,1.391544799220192
strain_18,0.9091975924478789,1250000,0.00025,373,1.3308156683354165e-06,0,4.324827985298665e-11,0,4.785741592745906e-16,0,5.095727960811855e-21,0,5.387040999167095e-26,0,5.537409136873966e-31,0,5.095190544981145e-36,0,4.697154395060727e-41,0,4.602005638710076e-46,0,5.592321238881624e-51,1.0019320822460183,1.260327954791872,1.3782621774857235,1.3885022279271055,1.3899760165306012,1.390435540381858,1.3907244436918509,1.3909668193685178,1.391182384448969,1.3913746243437652,1.391544799220192
strain_19,0.8587696298664709,1250000,0.00025,111,3.977775745304857e-07,0,3.868419555605786e-12,0,1.3005394001555031e-17,0,4.619397996521027e-23,0,1.672218898271162e-28,0,5.783400317726378e-34,0,1.6054009363913246e-39,0,4.414238914550081e-45,0,1.3163484352658264e-50,0,5.723489582047712e-56,1.0019320822460183,1.260327954791872,1.3782621774857235,1.3885022279271055,1.3899760165306012,1.390435540381858,1.3907244436918509,1.3909668193685178,1.391182384448969,1.3913746243437652,1.391544799220192
