7500,4302,1803,543,115,17,1,0,0,0
7500,3023,890,188,28,2,0,0,0,0
7500,4679,2132,699,161,26,3,0,0,0
7500,7609,5641,3007,1128,300,61,10,1,0
7500,2866,800,160,22,2,0,0,0,0
7500,2866,800,160,22,2,0,0,0,0
7500,7851,6004,3303,1279,351,73,12,2,0
7500,5001,2436,853,210,36,4,0,0,0
7500,2515,616,108,13,1,0,0,0,0
7500,4413,1897,586,127,19,2,0,0,0
7500,2523,620,109,13,1,0,0,0,0
7500,2520,618,109,13,1,0,0,0,0
7500,3734,1358,355,65,8,0,0,0,0
7500,1126,124,9,0,0,0,0,0,0
7500,1250,152,13,0,0,0,0,0,0
7500,2388,555,92,10,0,0,0,0,0
7500,1859,336,43,4,0,0,0,0,0
7500,3888,1472,401,76,10,1,0,0,0
7500,1970,378,52,5,0,0,0,0,0
7500,1488,216,22,1,0,0,0,0,0
7500,7371,5292,2733,993,256,50,8,1,0
7500,2880,807,162,23,2,0,0,0,0
7500,3389,1119,265,44,5,0,0,0,0
7500,1478,213,22,1,0,0,0,0,0
7500,2412,566,95,11,0,0,0,0,0
7500,3472,1174,285,48,5,0,0,0,0
7500,1721,288,34,2,0,0,0,0,0
7500,4023,1576,444,88,12,1,0,0,0
7500,2338,532,87,10,0,0,0,0,0
7500,2776,750,146,20,1,0,0,0,0
7500,2336,531,87,10,0,0,0,0,0
7500,9137,8132,5206,2346,750,183,37,7,1
7500,3240,1022,232,37,4,0,0,0,0
7500,1813,320,40,3,0,0,0,0,0
7500,5156,2590,935,238,42,5,0,0,0
7500,1655,267,31,2,0,0,0,0,0
7500,3666,1309,336,60,7,0,0,0,0
7500,1097,117,9,0,0,0,0,0,0
7500,1559,237,25,2,0,0,0,0,0
7500,3642,1292,329,59,7,0,0,0,0
7500,4921,2359,813,197,34,4,0,0,0
7500,3591,1256,316,55,7,0,0,0,0
7500,3061,913,195,29,3,0,0,0,0
7500,2761,742,143,19,1,0,0,0,0
7500,1434,200,20,1,0,0,0,0,0
7500,2188,466,71,7,0,0,0,0,0
7500,2527,622,110,13,1,0,0,0,0
7500,5874,3361,1383,400,82,12,1,0,0
7500,3952,1521,421,82,11,1,0,0,0
7500,1224,146,12,0,0,0,0,0,0
7500,3909,1488,407,78,10,1,0,0,0
7500,2635,676,124,16,1,0,0,0,0
7500,2241,489,76,8,0,0,0,0,0
7500,4586,2049,658,148,23,2,0,0,0
7500,5789,3265,1324,378,76,11,1,0,0
7500,5477,2922,1121,303,58,8,1,0,0
7500,2047,408,58,5,0,0,0,0,0
7500,2749,736,141,19,1,0,0,0,0
7500,3924,1500,412,79,10,1,0,0,0
7500,5614,3070,1207,334,65,9,1,0,0
7500,2501,609,106,13,1,0,0,0,0
7500,2945,844,174,25,2,0,0,0,0
7500,1764,303,37,3,0,0,0,0,0
7500,1678,274,32,2,0,0,0,0,0
