0,1,2,3,4,5,6,7,8,9
5e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5e-08,0.08736652666209772,0.11208408828140548,0.11806609512558475,0.11980424126219129,0.12032079656036081,0.12044532834831291,0.12049301981185943,0.1204925679380951,0.12049884473208008
5e-08,0.18927074865890484,0.24003854465377258,0.25241322731930793,0.25599919128246507,0.25706042866004636,0.2573282127007752,0.25740886840420507,0.25741047902228653,0.2574246402373993
5e-08,0.3122994660006949,0.39218904847484737,0.4119481692698271,0.41765423529703327,0.4193326445215562,0.41978401936512416,0.41989830216034135,0.41991063821131647,0.4199329294694577
5e-08,0.4570694492588803,0.5703936490451199,0.5991206958924484,0.6074119393853413,0.6098421746984747,0.6105306586934004,0.6106947460139879,0.6107273931785453,0.6107581926146013
5e-08,0.6058983800022046,0.7540485659315004,0.7926753239716232,0.8038535575647019,0.8071306165825345,0.8080852656805976,0.808315380130328,0.8083724716511884,0.8084120974205449
5e-08,0.7290245974666208,0.9067577946484804,0.9541934437748506,0.9679723050580955,0.9720197258130934,0.9732105800504803,0.9735061655409938,0.9735844239808794,0.9736319459838598
5e-08,0.812015708678388,1.0102536387946885,1.0640100478313166,1.0796748519464872,1.0842852117222004,1.0856444902353863,1.0859901815271296,1.0860830174353457,1.0861363669901916
5e-08,0.8613398018394216,1.0720857083966955,1.1297985791209562,1.1466541799699412,1.1516217192428144,1.1530860129473588,1.1534644029313068,1.1535661913625626,1.1536232788721843
5e-08,0.8893554099508444,1.107372868466516,1.1674307121043086,1.1849970300806736,1.1901782342338671,1.1917047699700312,1.1921031094225254,1.1922102658803,1.1922695766813716
