strain_id,initial_fitness,reads_t0,frequency_t0,reads_t1,frequency_t1,reads_t2,frequency_t2,reads_t3,frequency_t3,reads_t4,frequency_t4,reads_t5,frequency_t5,reads_t6,frequency_t6,reads_t7,frequency_t7,reads_t8,frequency_t8,reads_t9,frequency_t9,reads_t10,frequency_t10,avg_fitness_t0,avg_fitness_t1,avg_fitness_t2,avg_fitness_t3,avg_fitness_t4,avg_fitness_t5,avg_fitness_t6,avg_fitness_t7,avg_fitness_t8,avg_fitness_t9,avg_fitness_t10
strain_10,0.9536582307187538,1250000,0.00025,1084,3.864791792424753e-06,0,3.6683082993477204e-10,0,1.2656714362939265e-14,0,1.9970873396377836e-18,0,-3.554845691787264e-19,0,1.2510300367657438e-15,0,1.526917917262103e-13,0,9.077295856242847e-17,0,4.543418811607453e-20,0,3.2284471663831943e-23,1.0019320822460183,1.2603271331501948,1.37826015093479,1.3885015786581938,1.3899756398426197,1.3904349638843105,1.3907223163742128,1.391016707604911,1.3912613905340614,1.3918281660075973,1.3823930352167189
strain_11,0.9534270246429744,1250000,0.00025,1078,3.84341132029512e-06,0,3.627896603768295e-10,0,1.2451280621014652e-14,0,1.9635240593582735e-18,0,-3.53465398924146e-19,0,1.2529167296130448e-15,0,1.5396433922691092e-13,0,9.180956271592998e-17,0,4.607932517500155e-20,0,3.288195583906273e-23,1.0019320822460183,1.2603271331501948,1.37826015093479,1.3885015786581938,1.3899756398426197,1.3904349638843105,1.3907223163742128,1.391016707604911,1.3912613905340614,1.3918281660075973,1.3823930352167189
strain_12,1.0241962271566034,1250000,0.00025,5896,2.1008042822466763e-05,0,1.0797997025690987e-08,0,1.9211982401799268e-12,0,5.614973166372056e-16,0,-2.3986926445050244e-18,0,1.4499205590284186e-15,0,1.7809115794819775e-14,0,8.457480389166019e-18,0,3.652959699905534e-21,0,1.6246023948695524e-24,1.0019320822460183,1.2603271331501948,1.37826015093479,1.3885015786581938,1.3899756398426197,1.3904349638843105,1.3907223163742128,1.391016707604911,1.3912613905340614,1.3918281660075973,1.3823930352167189
strain_13,0.8086719755342202,1250000,0.00025,33,1.2098084783327752e-07,0,3.652162106664287e-13,0,5.878038829479689e-19,0,5.343721101139003e-22,0,-7.999147027836803e-20,0,2.3222355482416218e-14,0,2.4360165656401054e-11,0,1.1738560929434682e-12,0,1.249601028309408e-14,0,3.2653003033880466e-14,1.0019320822460183,1.2603271331501948,1.37826015093479,1.3885015786581938,1.3899756398426197,1.3904349638843105,1.3907223163742128,1.391016707604911,1.3912613905340614,1.3918281660075973,1.3823930352167189
strain_14,0.8275082167486967,1250000,0.00025,53,1.8910843466456647e-07,0,8.90518037157854e-13,0,2.0484937087494736e-18,0,1.1790961745578485e-21,0,-7.721189301088793e-20,0,1.3056051185777795e-14,0,2.0617371253727184e-11,0,4.67474999165048e-13,0,6.160282048723161e-15,0,1.0152437990440406e-15,1.0019320822460183,1.2603271331501948,1.37826015093479,1.3885015786581938,1.3899756398426197,1.3904349638843105,1.3907223163742128,1.391016707604911,1.3912613905340614,1.3918281660075973,1.3823930352167189
strain_15,0.9437712470759028,1250000,0.00025,855,3.048664292580363e-06,0,2.2843860571857343e-10,0,6.291301409491428e-15,0,9.77307282266667e-19,0,-2.8113977628958478e-19,0,1.3482661101626176e-15,0,2.1914555320220814e-13,0,1.5055834561926518e-16,0,8.590857883701242e-20,0,7.441275708791943e-23,1.0019320822460183,1.2603271331501948,1.37826015093479,1.3885015786581938,1.3899756398426197,1.3904349638843105,1.3907223163742128,1.391016707604911,1.3912613905340614,1.3918281660075973,1.3823930352167189
strain_16,0.8987168879665576,1250000,0.00025,290,1.03522768366808e-06,0,2.645552859008258e-11,0,2.6662789142902147e-16,0,4.962704577407028e-20,0,-1.2356107242317546e-19,0,2.441929473518386e-15,0,1.3008153707262525e-12,0,2.445095518629156e-15,0,3.5500845467780195e-18,0,1.1769738306746625e-20,1.0019320822460183,1.2603271331501948,1.37826015093479,1.3885015786581938,1.3899756398426197,1.3904349638843105,1.3907223163742128,1.391016707604911,1.3912613905340614,1.3918281660075973,1.3823930352167189
strain_17,1.0314247332595274,1250000,0.00025,7013,2.498862865710459e-05,0,1.5274007622781726e-08,0,3.222419704584065e-12,0,1.0464793278487346e-15,0,-2.5958401860612595e-18,0,1.589006064705283e-15,0,1.489545648011734e-14,0,7.429341219801865e-18,0,3.390357685974581e-21,0,1.56181824311762e-24,1.0019320822460183,1.2603271331501948,1.37826015093479,1.3885015786581938,1.3899756398426197,1.3904349638843105,1.3907223163742128,1.391016707604911,1.3912613905340614,1.3918281660075973,1.3823930352167189
strain_18,0.9091975924478789,1250000,0.00025,373,1.3307007076745357e-06,0,4.366302130800408e-11,0,5.539316133782485e-16,0,9.521191726726994e-20,0,-1.4416931865962444e-19,0,2.0533781192361513e-15,0,8.464797408534135e-13,0,1.200023822859717e-15,0,1.338899973713963e-18,0,3.044545279386176e-21,1.0019320822460183,1.2603271331501948,1.37826015093479,1.3885015786581938,1.3899756398426197,1.3904349638843105,1.3907223163742128,1.391016707604911,1.3912613905340614,1.3918281660075973,1.3823930352167189
strain_19,0.8587696298664709,1250000,0.00025,111,3.9822025398493864e-07,0,3.933491662066395e-12,0,1.694057750656726e-17,0,5.255366014184716e-21,0,-8.40914616425808e-20,0,5.6485239325293766e-15,0,6.7827356934705454e-12,0,4.654966525315181e-14,0,2.2447218501316454e-16,0,4.617253059088942e-18,1.0019320822460183,1.2603271331501948,1.37826015093479,1.3885015786581938,1.3899756398426197,1.3904349638843105,1.3907223163742128,1.391016707604911,1.3912613905340614,1.3918281660075973,1.3823930352167189
strain_20,1.1465648768921555,1250000,0.00025,111218,0.0003962530390882916,60,3.834394670399863e-06,0,1.2541318780258875e-08,0,3.941043850986955e-11,0,1.72215780918987e-13,0,9.651710079382508e-14,0,-5.278922657821932e-14,0,-1.6813895678026384e-16,0,-5.195591248068515e-19,0,-1.46021120910637e-21,1.0019320822460183,1.2603271331501948,1.37826015093479,1.3885015786581938,1.3899756398426197,1.3904349638843105,1.3907223163742128,1.391016707604911,1.3912613905340614,1.3918281660075973,1.3823930352167189
strain_21,0.9774223699513465,1250000,0.00025,1918,6.835890175795748e-06,0,1.1458002099330472e-09,0,6.832024795242756e-14,0,1.2081676371108224e-17,0,-6.696856487977581e-19,0,1.1434026496574136e-15,0,6.782784921834501e-14,0,3.202897566329096e-17,0,1.312084790044327e-20,0,6.656184113451756e-24,1.0019320822460183,1.2603271331501948,1.37826015093479,1.3885015786581938,1.3899756398426197,1.3904349638843105,1.3907223163742128,1.391016707604911,1.3912613905340614,1.3918281660075973,1.3823930352167189
strain_22,1.0067528204687923,1250000,0.00025,3879,1.3821023861110176e-05,0,4.676776189425158e-09,0,5.523470872545142e-13,0,1.2877192455250615e-16,0,-1.5722159722612885e-18,0,1.2382101455092163e-15,0,2.8174185671712554e-14,0,1.2494733663583162e-17,0,4.960521704753484e-21,0,2.1466276395811726e-24,1.0019320822460183,1.2603271331501948,1.37826015093479,1.3885015786581938,1.3899756398426197,1.3904349638843105,1.3907223163742128,1.391016707604911,1.3912613905340614,1.3918281660075973,1.3823930352167189
strain_23,0.8575251813786543,1250000,0.00025,108,3.8656490914336764e-07,0,3.707188933281553e-12,0,1.5561125389615395e-17,0,4.930188043176024e-21,0,-8.351020862607789e-20,0,5.823013600548361e-15,0,7.129808895097341e-12,0,5.118773623416364e-14,0,2.5715539171115084e-16,0,5.6631787359807854e-18,1.0019320822460183,1.2603271331501948,1.37826015093479,1.3885015786581938,1.3899756398426197,1.3904349638843105,1.3907223163742128,1.391016707604911,1.3912613905340614,1.3918281660075973,1.3823930352167189
strain_24,0.9455617275474817,1250000,0.00025,893,3.1824670045598432e-06,0,2.4889433813023805e-10,0,7.13946135926175e-15,0,1.1106115106429869e-18,0,-2.9293782925147295e-19,0,1.328032874762342e-15,0,2.0507057205550246e-13,0,1.3695423729779808e-16,0,7.615584679374118e-20,0,6.347901752659989e-23,1.0019320822460183,1.2603271331501948,1.37826015093479,1.3885015786581938,1.3899756398426197,1.3904349638843105,1.3907223163742128,1.391016707604911,1.3912613905340614,1.3918281660075973,1.3823930352167189
strain_25,1.0110922589709865,1250000,0.00025,4305,1.5338325462758236e-05,0,5.75894354133068e-09,0,7.529973810057964e-13,0,1.8497208520638578e-16,0,-1.7724040084298184e-18,0,1.2774220317720928e-15,0,2.5032059334518676e-14,0,1.121407893764994e-17,0,4.515969853633121e-21,0,1.951970841410926e-24,1.0019320822460183,1.2603271331501948,1.37826015093479,1.3885015786581938,1.3899756398426197,1.3904349638843105,1.3907223163742128,1.391016707604911,1.3912613905340614,1.3918281660075973,1.3823930352167189
strain_26,0.8849006422577698,1250000,0.00025,208,7.436808108097147e-07,0,1.3674365072592882e-11,0,1.0217115780318465e-16,0,2.187122522183113e-20,0,-1.043315813392295e-19,0,3.1636299771788797e-15,0,2.3086483782743708e-12,0,6.5470616951394896e-15,0,1.395531274029689e-17,0,8.088860822104434e-20,1.0019320822460183,1.2603271331501948,1.37826015093479,1.3885015786581938,1.3899756398426197,1.3904349638843105,1.3907223163742128,1.391016707604911,1.3912613905340614,1.3918281660075973,1.3823930352167189
strain_27,1.0375698018345672,1250000,0.00025,8128,2.8960385079942065e-05,0,2.051144056998585e-08,0,5.003069040346299e-12,0,1.7858247631494193e-15,0,-2.4402365070883692e-18,0,1.7395916582357114e-15,0,1.2842821603806901e-14,0,6.737253760154578e-18,0,3.2493361139301937e-21,0,1.5580824593618293e-24,1.0019320822460183,1.2603271331501948,1.37826015093479,1.3885015786581938,1.3899756398426197,1.3904349638843105,1.3907223163742128,1.391016707604911,1.3912613905340614,1.3918281660075973,1.3823930352167189
strain_28,0.9399361310081195,1250000,0.00025,780,2.7807083804456827e-06,0,1.9010761364663212e-10,0,4.799270621163708e-15,0,7.449126833249669e-19,0,-2.57985557507421e-19,0,1.3958411115568687e-15,0,2.5297101570875483e-13,0,1.8524701155612622e-16,0,1.120491637670866e-19,0,1.0578231342545263e-22,1.0019320822460183,1.2603271331501948,1.37826015093479,1.3885015786581938,1.3899756398426197,1.3904349638843105,1.3907223163742128,1.391016707604911,1.3912613905340614,1.3918281660075973,1.3823930352167189
strain_29,0.9708306250206723,1250000,0.00025,1637,5.835654066752491e-06,0,8.35362229342743e-10,0,4.2767804576382907e-14,0,7.251404496860189e-18,0,-5.569279991290465e-19,0,1.1569360849081548e-15,0,8.422506853497216e-14,0,4.1698975019253843e-17,0,1.776899278395184e-20,0,9.707606186203214e-24,1.0019320822460183,1.2603271331501948,1.37826015093479,1.3885015786581938,1.3899756398426197,1.3904349638843105,1.3907223163742128,1.391016707604911,1.3912613905340614,1.3918281660075973,1.3823930352167189
strain_30,0.9398293387770603,1250000,0.00025,778,2.7735942956408666e-06,0,1.8913783074118876e-10,0,4.763247484222035e-15,0,7.393355920591908e-19,0,-2.573795028986134e-19,0,1.397251634035909e-15,0,2.539907231616029e-13,0,1.8633581783362957e-16,0,1.128976150265361e-19,0,1.068471259487247e-22,1.0019320822460183,1.2603271331501948,1.37826015093479,1.3885015786581938,1.3899756398426197,1.3904349638843105,1.3907223163742128,1.391016707604911,1.3912613905340614,1.3918281660075973,1.3823930352167189
strain_31,1.1852278184508938,1250000,0.00025,281294,0.0010022076949317519,386,2.4526385388215232e-05,0,2.025203627522881e-07,0,1.5495278429824336e-09,0,1.3432086900223447e-11,0,1.693129647601623e-12,0,-6.835607719587532e-13,0,-5.134708900691997e-15,0,-3.7770955235634486e-17,0,-2.55806043421399e-19,1.0019320822460183,1.2603271331501948,1.37826015093479,1.3885015786581938,1.3899756398426197,1.3904349638843105,1.3907223163742128,1.391016707604911,1.3912613905340614,1.3918281660075973,1.3823930352167189
strain_32,0.9986502775262066,1250000,0.00025,3193,1.137821597969617e-05,0,3.1708365187878917e-09,0,3.0981922999939576e-13,0,6.60047900414496e-17,0,-1.2441961692719166e-18,0,1.1844147123215612e-15,0,3.541538899302739e-14,0,1.5612753098540098e-17,0,6.112048734239987e-21,0,2.690446843479979e-24,1.0019320822460183,1.2603271331501948,1.37826015093479,1.3885015786581938,1.3899756398426197,1.3904349638843105,1.3907223163742128,1.391016707604911,1.3912613905340614,1.3918281660075973,1.3823930352167189
strain_33,0.89422890710441,1250000,0.00025,260,9.297371462652462e-07,0,2.1349324644045824e-11,0,1.951284714639448e-16,0,3.784230499223372e-20,0,-1.1645925638334041e-19,0,2.646288651596151e-15,0,1.5662867707775446e-12,0,3.3490065396343703e-15,0,5.484505113002821e-18,0,2.163189000004928e-20,1.0019320822460183,1.2603271331501948,1.37826015093479,1.3885015786581938,1.3899756398426197,1.3904349638843105,1.3907223163742128,1.391016707604911,1.3912613905340614,1.3918281660075973,1.3823930352167189
strain_34,1.082254491210319,1250000,0.00025,23758,8.464947061076682e-05,2,1.7507592240162708e-07,0,1.2328344426684842e-10,0,9.792442437124318e-14,0,1.7859739946990838e-16,0,4.945324882964951e-15,0,3.260427489476171e-15,0,3.026512266484533e-18,0,2.6573601266742312e-21,0,2.1607121052574812e-24,1.0019320822460183,1.2603271331501948,1.37826015093479,1.3885015786581938,1.3899756398426197,1.3904349638843105,1.3907223163742128,1.391016707604911,1.3912613905340614,1.3918281660075973,1.3823930352167189
strain_35,0.8779156350028978,1250000,0.00025,176,6.292377417987302e-07,0,9.79777226449523e-12,0,6.305193145264077e-17,0,1.4704427792346908e-20,0,-9.719239939225996e-20,0,3.652416187335194e-15,0,3.088307063028099e-12,0,1.0952416720496992e-14,0,2.874794194979546e-17,0,2.272227873465515e-19,1.0019320822460183,1.2603271331501948,1.37826015093479,1.3885015786581938,1.3899756398426197,1.3904349638843105,1.3907223163742128,1.391016707604911,1.3912613905340614,1.3918281660075973,1.3823930352167189
strain_36,1.0208863595004756,1250000,0.00025,5446,1.9403514698332515e-05,0,9.212633084921955e-09,0,1.5162657995078465e-12,0,4.232022026275383e-16,0,-2.251037903998188e-18,0,1.3976635537534967e-15,0,1.9365724798604874e-14,0,9.027682467775041e-18,0,3.816690090096099e-21,0,1.6778385166765106e-24,1.0019320822460183,1.2603271331501948,1.37826015093479,1.3885015786581938,1.3899756398426197,1.3904349638843105,1.3907223163742128,1.391016707604911,1.3912613905340614,1.3918281660075973,1.3823930352167189
strain_37,0.8040329876120225,1250000,0.00025,30,1.084106413594292e-07,0,2.933941791130326e-13,0,4.336366741487494e-19,0,4.452062421898381e-22,0,-8.14769565957403e-20,0,2.697173529157082e-14,0,1.9064264177707992e-11,0,1.0878727641885128e-12,0,-1.3448286095758904e-14,0,7.833459809762591e-14,1.0019320822460183,1.2603271331501948,1.37826015093479,1.3885015786581938,1.3899756398426197,1.3904349638843105,1.3907223163742128,1.391016707604911,1.3912613905340614,1.3918281660075973,1.3823930352167189
strain_38,0.8671813951101569,1250000,0.00025,136,4.868244307472806e-07,0,5.872419566366778e-12,0,3.012761428830266e-17,0,8.171025292270495e-21,0,-8.882467643137007e-20,0,4.629045243276025e-15,0,4.816745412850895e-12,0,2.4536819211573256e-14,0,9.005611886973774e-17,0,1.1921073399617625e-18,1.0019320822460183,1.2603271331501948,1.37826015093479,1.3885015786581938,1.3899756398426197,1.3904349638843105,1.3907223163742128,1.391016707604911,1.3912613905340614,1.3918281660075973,1.3823930352167189
strain_39,1.0196861235869124,1250000,0.00025,5291,1.8852459786459054e-05,0,8.697171478946197e-09,0,1.391576010102131e-12,0,3.821021972384124e-16,0,-2.193706762735932e-18,0,1.380283322486011e-15,0,1.997012332056488e-14,0,9.25279831802378e-18,0,3.883981225472473e-21,0,1.701476972577123e-24,1.0019320822460183,1.2603271331501948,1.37826015093479,1.3885015786581938,1.3899756398426197,1.3904349638843105,1.3907223163742128,1.391016707604911,1.3912613905340614,1.3918281660075973,1.3823930352167189
strain_40,1.0738466579995412,1250000,0.00025,19417,6.917968885634216e-05,1,1.1694769122861683e-07,0,6.741922010537667e-11,0,4.547894052787785e-14,0,6.959979514678373e-17,0,3.842328759328354e-15,0,4.842066861247507e-15,0,3.943208763013505e-18,0,3.023675812561367e-21,0,2.1657875829281263e-24,1.0019320822460183,1.2603271331501948,1.37826015093479,1.3885015786581938,1.3899756398426197,1.3904349638843105,1.3907223163742128,1.391016707604911,1.3912613905340614,1.3918281660075973,1.3823930352167189
strain_41,1.017136828118997,1250000,0.00025,4977,1.7733392209610554e-05,0,7.69603444040927e-09,0,1.1597485187976781e-12,0,3.077745705065026e-16,0,-2.068724690451761e-18,0,1.3459549653768921e-15,0,2.1330919108272495e-14,0,9.766975252581902e-18,0,4.042396705407078e-21,0,1.7600838855721245e-24,1.0019320822460183,1.2603271331501948,1.37826015093479,1.3885015786581938,1.3899756398426197,1.3904349638843105,1.3907223163742128,1.391016707604911,1.3912613905340614,1.3918281660075973,1.3823930352167189
strain_42,0.9884351717611759,1250000,0.00025,2499,8.904078126172268e-06,0,1.9427932850009597e-09,0,1.4959287192956357e-13,0,2.886614632609502e-17,0,-9.210204832037496e-19,0,1.1479927799334147e-15,0,4.7975740412788866e-14,0,2.1521927187883597e-17,0,8.481177771936212e-21,0,3.925658231468839e-24,1.0019320822460183,1.2603271331501948,1.37826015093479,1.3885015786581938,1.3899756398426197,1.3904349638843105,1.3907223163742128,1.391016707604911,1.3912613905340614,1.3918281660075973,1.3823930352167189
strain_43,0.9698896304410711,1250000,0.00025,1601,5.705345287502895e-06,0,7.985201075670508e-10,0,4.000326107392777e-14,0,6.7463670707630824e-18,0,-5.427258685804179e-19,0,1.1598590222572683e-15,0,8.691699709188716e-14,0,4.336799441958991e-17,0,1.860316029650911e-20,0,1.0283733301939218e-23,1.0019320822460183,1.2603271331501948,1.37826015093479,1.3885015786581938,1.3899756398426197,1.3904349638843105,1.3907223163742128,1.391016707604911,1.3912613905340614,1.3918281660075973,1.3823930352167189
strain_44,0.8521478009632573,1250000,0.00025,95,3.400152041353776e-07,0,2.870068004398244e-12,0,1.0788702294644569e-17,0,3.756835253125941e-21,0,-8.132225924760172e-20,0,6.660108757952763e-15,0,8.819231099619911e-12,0,7.714177604561384e-14,0,4.630637421885472e-16,0,1.3834700047711242e-17,1.0019320822460183,1.2603271331501948,1.37826015093479,1.3885015786581938,1.3899756398426197,1.3904349638843105,1.3907223163742128,1.391016707604911,1.3912613905340614,1.3918281660075973,1.3823930352167189
strain_45,0.9280155791605291,1250000,0.00025,586,2.0892547496417453e-06,0,1.074308748409524e-10,0,2.0725476615637374e-15,0,3.270226072997506e-19,0,-2.012272455386612e-19,0,1.5853467806168634e-15,0,3.995982549521711e-13,0,3.6654630730811056e-16,0,2.7283014085511155e-19,0,3.480146675948707e-22,1.0019320822460183,1.2603271331501948,1.37826015093479,1.3885015786581938,1.3899756398426197,1.3904349638843105,1.3907223163742128,1.391016707604911,1.3912613905340614,1.3918281660075973,1.3823930352167189
strain_46,0.9539361229040213,1250000,0.00025,1092,3.890647052845823e-06,0,3.717476596500161e-10,0,1.2908134364643037e-14,0,2.0382181564552534e-18,0,-3.5793136949021673e-19,0,1.248785645867516e-15,0,1.5117767283718878e-13,0,8.954525417021877e-17,0,4.467299733526054e-20,0,3.1583080189193455e-23,1.0019320822460183,1.2603271331501948,1.37826015093479,1.3885015786581938,1.3899756398426197,1.3904349638843105,1.3907223163742128,1.391016707604911,1.3912613905340614,1.3918281660075973,1.3823930352167189
strain_47,1.1057122226218916,1250000,0.00025,41720,0.00014864392161839494,8,5.397011392536851e-07,0,6.648065889666579e-10,0,8.530652437007667e-13,0,2.153412574665369e-15,0,1.166527820244952e-14,0,-2.8993579775355494e-15,0,-4.051301379931297e-18,0,-5.413859443895741e-21,0,-6.599726219694243e-24,1.0019320822460183,1.2603271331501948,1.37826015093479,1.3885015786581938,1.3899756398426197,1.3904349638843105,1.3907223163742128,1.391016707604911,1.3912613905340614,1.3918281660075973,1.3823930352167189
strain_48,1.0343618289568461,1250000,0.00025,7526,2.6813991495412786e-05,0,1.758537727014838e-08,0,3.976366031953144e-12,0,1.3502656256110043e-15,0,-2.577140407288923e-18,0,1.6568318550956598e-15,0,1.3871929326277231e-14,0,7.080884297250754e-18,0,3.3147360487935966e-21,0,1.5547583777542461e-24,1.0019320822460183,1.2603271331501948,1.37826015093479,1.3885015786581938,1.3899756398426197,1.3904349638843105,1.3907223163742128,1.391016707604911,1.3912613905340614,1.3918281660075973,1.3823930352167189
strain_49,0.8236959844637266,1250000,0.00025,48,1.7273717090543447e-07,0,7.433375570957882e-13,0,1.5885054191900806e-18,0,9.98032921915076e-22,0,-7.736658577971888e-20,0,1.46086028798402e-14,0,2.2662167456784262e-11,0,5.985794306700451e-13,0,8.693745138995463e-15,0,2.0258391633834985e-15,1.0019320822460183,1.2603271331501948,1.37826015093479,1.3885015786581938,1.3899756398426197,1.3904349638843105,1.3907223163742128,1.391016707604911,1.3912613905340614,1.3918281660075973,1.3823930352167189
strain_50,1.0324083969394795,1250000,0.00025,7181,2.5585685766834855e-05,0,1.6012122654531836e-08,0,3.457469248532105e-12,0,1.1395925245961085e-15,0,-2.5985723399635495e-18,0,1.6109254582490202e-15,0,1.454341179298791e-14,0,7.3087303517374e-18,0,3.3632404373310026e-21,0,1.5583426849939207e-24,1.0019320822460183,1.2603271331501948,1.37826015093479,1.3885015786581938,1.3899756398426197,1.3904349638843105,1.3907223163742128,1.391016707604911,1.3912613905340614,1.3918281660075973,1.3823930352167189
