mutant_index,clim_fitness,nlim_fitness,switch_fitness,combined_fitness,delta_s,non_additivity
68,-0.013994383773935533,-0.013513398536456769,-0.0010881280831630334,-0.013753891155196152,-0.00048098523747876383,0.012665763072033119
70,-0.007906260586641201,-0.033793438795690904,-0.008013756737203366,-0.02084984969116605,0.025887178209049705,0.012836092953962685
71,-0.027961273455070896,-0.009603550523725732,0.0036017761687405,-0.018782411989398312,-0.018357722931345164,0.022384188158138814
72,-0.0444307109413389,-0.0149537772843859,-0.00443993852505175,-0.0296922441128624,-0.029476933656953003,0.02525230558781065
74,-0.005964898259816401,-0.016676322973684567,-0.0055892200710782,-0.011320610616750484,0.010711424713868167,0.005731390545672284
76,-0.0161919491272329,-0.014801458323321299,-0.0032917159955916328,-0.0154967037252771,-0.0013904908039116,0.012204987729685467
78,-0.018520849771588452,-0.0002325218249870668,0.0041138767418428665,-0.00937668579828776,-0.018288327946601384,0.013490562540130625
79,-0.011886858535419735,-0.0084541329243984,0.0006377383435917337,-0.010170495729909067,-0.0034327256110213353,0.0108082340735008
80,-0.022693545150111766,-0.009837153729029234,-0.000605047565218266,-0.0162653494395705,-0.012856391421082532,0.015660301874352234
81,-0.0223949469985972,-0.015490029061860968,0.00048078466064919984,-0.018942488030229084,-0.006904917936736232,0.019423272690878284
82,-0.024223662814461065,-0.020460315831369168,-0.0102906930018906,-0.022341989322915118,-0.003763346983091897,0.012051296321024517
83,-0.0092813985211733,-0.018543746141459698,0.0008248286786528334,-0.0139125723313165,0.009262347620286398,0.014737401009969333
84,-0.031850880260340636,-0.016031207819023632,-0.0034496451397448996,-0.023941044039682134,-0.015819672441317004,0.020491398899937233
86,-0.03858827151148007,-0.020692509851940367,-0.005613125498209966,-0.02964039068171022,-0.0178957616595397,0.024027265183500252
87,-0.034991419000101436,-0.0253004600011906,-0.012758865470621399,-0.030145939500646018,-0.009690958998910836,0.017387074030024617
88,-0.016598981421842834,-0.017764188092617567,-0.0027929346691192,-0.017181584757230202,0.0011652066707747329,0.014388650088111002
89,-0.010271414280739667,-0.018838233252816,-0.011275191569596367,-0.014554823766777834,0.008566818972076333,0.0032796321971814667
90,-0.0005812671828565499,-0.023926693202389004,-0.005716130070591366,-0.012253980192622776,0.023345426019532454,0.006537850122031411
91,-0.034527871495325754,-0.0095424894619851,0.0006647078740567334,-0.02203518047865543,-0.024985382033340654,0.022699888352712163
92,-0.025878411164185003,-0.0173823110357814,-0.0013459512633506334,-0.021630361099983203,-0.008496100128403603,0.02028440983663257
94,-0.025616203260772866,-0.013790778030126433,0.0034530270863186666,-0.01970349064544965,-0.011825425230646433,0.023156517731768314
95,-0.03215469147750935,-0.017440580838054266,0.005690590207920568,-0.024797636157781806,-0.014714110639455085,0.030488226365702375
96,-0.045801815040479164,-0.015699916108164364,0.00029992605029096654,-0.030750865574321766,-0.0301018989323148,0.03105079162461273
98,-0.00194153692155825,-0.021510943324533235,-0.0017729406837038667,-0.011726240123045743,0.019569406402974984,0.009953299439341876
99,-0.04054080963259335,-0.0266249569572511,-0.0020069896782335334,-0.033582883294922226,-0.01391585267534225,0.031575893616688694
100,-0.04365620746061937,-0.013512491149200766,-0.0008701215361009334,-0.028584349304910068,-0.030143716311418607,0.027714227768809135
102,-0.03159569745529433,-0.0045893113635226005,0.0012543628437308673,-0.018092504409408464,-0.02700638609177173,0.019346867253139333
103,-0.03734886550889753,-0.012537787374734266,-0.005819572448693667,-0.024943326441815898,-0.024811078134163264,0.01912375399312223
104,-0.014343002318831866,-0.015999734143883268,0.0012425366795569333,-0.015171368231357566,0.001656731825051402,0.0164139049109145
