mutant_index,clim_fitness,nlim_fitness,switch_fitness,combined_fitness
1,-0.0618171020438331,-0.022210316875508267,-0.006361049994457133,-0.04201370945967069
2,-0.02654462884802835,-0.023150981111237035,-0.009277854777446566,-0.024847804979632692
5,-0.0235440677414798,-0.039489149146996,-0.038259183972359896,-0.0315166084442379
7,-0.03422194248395003,-0.009111567493474033,0.0027271591516405663,-0.021666754988712032
8,-0.011952646508448501,-0.012685960963383966,0.003896946267240267,-0.012319303735916234
9,-0.02321579209971185,-0.015641397107636235,-0.0033922701939736663,-0.01942859460367404
11,-0.044592357566669696,-0.015228569576633497,-0.007928475325057034,-0.029910463571651596
12,-0.038636040819156905,-0.015081420508695167,-0.0045993215169425,-0.026858730663926036
14,-0.02281927852660037,-0.007924915204725966,0.0028598936417805333,-0.015372096865663168
15,-0.0342528196493544,-0.0184486713464686,-0.024301673309674966,-0.0263507454979115
16,-0.0181663098312694,-0.009849018511929833,-0.0002133164569892001,-0.014007664171599616
17,-0.01517764593349305,0.002397265518985866,-0.0024381820744875664,-0.006390190207253592
18,-0.0059422703626459,-0.018830008908582,-0.004417906182809599,-0.01238613963561395
19,-0.01661445007182207,-0.020752275264398934,-0.0031413076724629003,-0.0186833626681105
20,-0.01367313190935285,-0.007806897593598333,5.4788168947900074e-05,-0.010740014751475591
21,-0.0292569793018519,-0.013211849089878566,-0.0005819942647656667,-0.021234414195865234
22,-0.02121559733555215,-0.018922032345724402,-0.009953621039247301,-0.02006881484063828
23,-0.04452941207777765,-0.010454190445431033,-0.0049700635113532335,-0.027491801261604342
24,-0.054832048665026,-0.0158684498249656,-0.0110932855391723,-0.0353502492449958
25,-0.0399896025720585,-0.015277610480540235,-0.005118919829302933,-0.027633606526299367
26,-0.022268169666875,-0.019818632995939667,-0.0115423522227038,-0.021043401331407335
27,-0.03997255386379625,-0.017216842323020468,-0.008403408751179266,-0.02859469809340836
28,-0.051671690372052104,-0.0088337832805788,-0.0048124867616177,-0.030252736826315452
29,-0.025367593863073398,-0.0031819243666224,0.0032162922455095003,-0.0142747591148479
30,-0.0446114756539532,-0.028746773510350904,-0.011027883529078466,-0.036679124582152056
31,-0.0158321783904068,0.0017370674425566,-0.0034485991616652334,-0.007047555473925099
32,-0.00188791272424605,-0.019943783730175902,-0.007118301451749666,-0.010915848227210976
33,-0.03470365984812097,-0.0084677140974886,0.0022527675792340667,-0.021585686972804784
34,-0.0021200308753853334,-0.013638428913085634,-0.002644089221917467,-0.007879229894235484
35,-0.00429847946767085,-0.029050953285303733,-0.006590271168475568,-0.016674716376487292
36,-0.0350110910453172,-0.004259373356857566,-0.0018087217922118334,-0.019635232201087385
37,-0.018183517271437966,-0.012152482132345634,0.00024768986561496674,-0.0151679997018918
38,-0.019359006676217833,-0.012314485529595534,-0.0004442617370580332,-0.015836746102906682
39,-0.01486650037058735,-0.02084985812810543,-0.008133760786659332,-0.017858179249346393
40,-0.04042159098456324,-0.005618868340686434,-0.0009813270584177,-0.023020229662624837
41,-0.036062370677809805,-0.014983967055711098,-0.002324903673538033,-0.02552316886676045
44,-0.0099521866727399,-0.0044797230235050335,-0.0034659385936611996,-0.0072159548481224665
45,0.0003573328909160332,-0.014294299534751498,-0.0035303060716176337,-0.006968483321917732
47,-0.009176473731929067,-0.014474722291448366,0.0009899231305297333,-0.011825598011688716
48,-0.02060179530275965,-0.003780094958263234,-0.0012617091451415333,-0.012190945130511442
49,-0.00856419206200565,-0.0185491014407913,-0.0060964631906453995,-0.013556646751398477
50,-0.03294718165541383,-0.0038460421364425665,0.0005328326257870333,-0.0183966118959282
51,-0.029129760383434067,-0.019520552184786964,-0.0013816335124928333,-0.024325156284110513
52,-0.036169314783103146,-0.008343500164888867,-0.0013375465721841336,-0.022256407473996008
53,-0.0187082696443335,-0.016283221270702333,-0.0009076621479264668,-0.017495745457517916
54,-0.0135409102980312,0.001471712749753833,-0.0006826569593655334,-0.006034598774138683
55,-0.0288681238702528,-0.015169311757890333,-0.0012705564605989333,-0.022018717814071567
56,-0.021225916559323932,-0.0159217635262423,-9.738810378476677e-05,-0.01857384004278312
59,-0.03317394529167235,-0.011433335053583666,-0.0031062663476752665,-0.02230364017262801
60,-0.02850512329768965,-0.004574903384583833,0.0007304569717416666,-0.016540013341136743
61,-0.0170449128012717,-0.012583944458930267,-0.010850968262098934,-0.014814428630100983
62,-0.00115117945992,-0.0189318824556424,-0.008988493551594466,-0.0100415309577812
65,-0.0258301698616413,-0.03270458349785516,-0.0101952456582418,-0.02926737667974823
67,-0.02553023320231203,-0.019281221186086,-0.0010090395370707,-0.022405727194199015
68,-0.013994383773935533,-0.013513398536456769,-0.0010881280831630334,-0.013753891155196152
70,-0.007906260586641201,-0.033793438795690904,-0.008013756737203366,-0.02084984969116605
71,-0.027961273455070896,-0.009603550523725732,0.0036017761687405,-0.018782411989398312
72,-0.0444307109413389,-0.0149537772843859,-0.00443993852505175,-0.0296922441128624
74,-0.005964898259816401,-0.016676322973684567,-0.0055892200710782,-0.011320610616750484
76,-0.0161919491272329,-0.014801458323321299,-0.0032917159955916328,-0.0154967037252771
78,-0.018520849771588452,-0.0002325218249870668,0.0041138767418428665,-0.00937668579828776
79,-0.011886858535419735,-0.0084541329243984,0.0006377383435917337,-0.010170495729909067
80,-0.022693545150111766,-0.009837153729029234,-0.000605047565218266,-0.0162653494395705
81,-0.0223949469985972,-0.015490029061860968,0.00048078466064919984,-0.018942488030229084
82,-0.024223662814461065,-0.020460315831369168,-0.0102906930018906,-0.022341989322915118
83,-0.0092813985211733,-0.018543746141459698,0.0008248286786528334,-0.0139125723313165
84,-0.031850880260340636,-0.016031207819023632,-0.0034496451397448996,-0.023941044039682134
86,-0.03858827151148007,-0.020692509851940367,-0.005613125498209966,-0.02964039068171022
87,-0.034991419000101436,-0.0253004600011906,-0.012758865470621399,-0.030145939500646018
88,-0.016598981421842834,-0.017764188092617567,-0.0027929346691192,-0.017181584757230202
89,-0.010271414280739667,-0.018838233252816,-0.011275191569596367,-0.014554823766777834
90,-0.0005812671828565499,-0.023926693202389004,-0.005716130070591366,-0.012253980192622776
91,-0.034527871495325754,-0.0095424894619851,0.0006647078740567334,-0.02203518047865543
92,-0.025878411164185003,-0.0173823110357814,-0.0013459512633506334,-0.021630361099983203
94,-0.025616203260772866,-0.013790778030126433,0.0034530270863186666,-0.01970349064544965
95,-0.03215469147750935,-0.017440580838054266,0.005690590207920568,-0.024797636157781806
96,-0.045801815040479164,-0.015699916108164364,0.00029992605029096654,-0.030750865574321766
98,-0.00194153692155825,-0.021510943324533235,-0.0017729406837038667,-0.011726240123045743
99,-0.04054080963259335,-0.0266249569572511,-0.0020069896782335334,-0.033582883294922226
100,-0.04365620746061937,-0.013512491149200766,-0.0008701215361009334,-0.028584349304910068
102,-0.03159569745529433,-0.0045893113635226005,0.0012543628437308673,-0.018092504409408464
103,-0.03734886550889753,-0.012537787374734266,-0.005819572448693667,-0.024943326441815898
104,-0.014343002318831866,-0.015999734143883268,0.0012425366795569333,-0.015171368231357566
105,-0.057671489854089965,-0.011128897940166966,-0.006944002450004534,-0.034400193897128464
106,0.0021323340025530334,-0.012043310169484567,0.002602761144162,-0.0049554880834657665
107,-0.0014354210324144668,-0.014407330188690998,-0.0003338427757301001,-0.007921375610552733
108,-0.043959889015654806,-0.018334206876087635,-0.0021710109834237,-0.03114704794587122
112,-0.0124081238730796,-0.018517586556405535,-0.0055582049070974,-0.015462855214742569
113,-0.045791625584953866,-0.012206821171334,-0.0024789229781824666,-0.028999223378143934
