mutant_id,clim_fitness,nlim_fitness,switch_fitness,combined_fitness
0.0,0.0272745114872472,-0.17953722116104878,-0.33618647431075804,-0.0761313548369008
1.0,-0.9721395373460342,-0.3888593729866815,-0.17530237178284186,-0.6804994551663579
2.0,-0.37672725286483183,-0.4635639705507672,-0.1613897384639466,-0.4201456117077995
5.0,-0.16336659311471902,-0.33003382170179074,-0.6434402769983759,-0.24670020740825488
7.0,-0.35933902408582896,-0.11615290599348924,0.034517039780287154,-0.2377459650396591
8.0,0.03259409552838524,-0.15311249355161588,0.08295643167995675,-0.06025919901161532
9.0,-0.47666819999083954,-0.28360950807500573,-0.12360842742893774,-0.38013885403292264
11.0,-0.4361948153541024,-0.1879265882438927,-0.22621453444837586,-0.3120607017989976
12.0,-0.6229594733221197,-0.1458191746904096,0.00929976927498015,-0.38438932400626463
13.0,-0.39425418609200497,-0.5932848928348605,-0.7754779423508048,-0.4937695394634327
14.0,-0.5145255591359181,-0.07126642807460047,0.10879095402141287,-0.2928959936052593
15.0,-0.5835613436447479,-0.1812733601811322,-0.6513642071561454,-0.38241735191294
16.0,-0.478253844931754,-0.08239603538135361,0.020571588572242124,-0.2803249401565538
17.0,-0.4777275283647111,0.27606184111583526,0.023512272935390474,-0.10083284362443792
18.0,-0.3039537263501441,-0.19668517948762188,-0.02784902394974019,-0.250319452918883
19.0,-0.1609375854135726,-0.1419518300648453,0.008625841959366692,-0.15144470773920893
20.0,-0.5606233219082123,-0.08195342466820735,-0.013172530370712823,-0.3212883732882098
21.0,-0.4554636503325097,-0.1385051763765245,-0.02320295451741612,-0.2969844133545171
22.0,-0.5482558284263492,-0.2833350842545764,-0.2774655331094339,-0.4157954563404628
23.0,-0.3345454124982048,-0.08396930330553128,-0.14309752678151982,-0.20925735790186803
24.0,-0.7381732382491716,-0.11892512935815909,-0.33514912395892116,-0.42854918380366536
25.0,-0.500781158256401,-0.16166765452553555,-0.044110375929860994,-0.3312244063909683
26.0,-0.5152601351970412,-0.33871994998896915,-0.23113679387719532,-0.42699004259300516
27.0,-0.48440262545560053,-0.17089059173146973,-0.10782578502627131,-0.3276466085935351
28.0,-1.4204027024435775,-0.10215732011027087,0.06911878816595249,-0.7612800112769241
