mutant_id,clim_fitness,nlim_fitness
0,0.0272745114872472,-0.17953722116104878
1,-0.9721395373460342,-0.3888593729866815
2,-0.37672725286483183,-0.4635639705507672
5,-0.16336659311471902,-0.33003382170179074
7,-0.35933902408582896,-0.11615290599348924
8,0.03259409552838524,-0.15311249355161588
9,-0.47666819999083954,-0.28360950807500573
11,-0.4361948153541024,-0.1879265882438927
12,-0.6229594733221197,-0.1458191746904096
13,-0.39425418609200497,-0.5932848928348605
14,-0.5145255591359181,-0.07126642807460047
15,-0.5835613436447479,-0.1812733601811322
16,-0.478253844931754,-0.08239603538135361
17,-0.4777275283647111,0.27606184111583526
18,-0.3039537263501441,-0.19668517948762188
19,-0.1609375854135726,-0.1419518300648453
20,-0.5606233219082123,-0.08195342466820735
21,-0.4554636503325097,-0.1385051763765245
22,-0.5482558284263492,-0.2833350842545764
23,-0.3345454124982048,-0.08396930330553128
24,-0.7381732382491716,-0.11892512935815909
25,-0.500781158256401,-0.16166765452553555
26,-0.5152601351970412,-0.33871994998896915
27,-0.48440262545560053,-0.17089059173146973
28,-1.4204027024435775,-0.10215732011027087
29,-0.4241993168213844,-0.04182994112579466
30,-0.565923436670032,-0.3379403111568227
31,-0.1483716787298467,0.30841262031137023
32,-0.18544198948308904,-0.26246287258119977
33,-0.44100310045757685,-0.07290016621112787
34,-0.20610389841379861,-0.18695359123295063
35,-0.23477376348358256,-0.4594374456096528
36,-0.37476887311549123,0.11445755104036938
37,-0.16401933611236302,-0.20810547736074358
38,-0.15426378565221288,-0.2904034099956443
39,-0.5234494610858695,-0.25988136701211617
40,-0.44530816170511334,-0.05964208564667562
41,-0.37075596744243916,-0.203791435251357
44,-0.4459824216558221,0.0019760099471358913
45,-0.02510165091329583,-0.31966877076414685
46,-0.6637920544777682,-0.48524796324038866
47,0.02893185225908558,-0.24380778678998696
48,-0.4645769966835207,0.0709501349702579
49,-0.3808552680116911,-0.16080977297696175
50,-0.20018204364828124,-0.013171149814060184
51,-0.21048898870500235,-0.2543431355468532
52,-0.4775515958937261,-0.027763918071032317
53,-0.14151725362835293,-0.28901936644800685
54,-0.4004229512089512,0.20546188852732733
