mutant_id,clim_fitness,nlim_fitness,switch_fitness,combined_fitness,delta_s,non_additivity
0.0,0.0272745114872472,-0.17953722116104878,-0.33618647431075804,-0.0761313548369008,0.20681173264829597,-0.26005511947385723
1.0,-0.9721395373460342,-0.3888593729866815,-0.17530237178284186,-0.6804994551663579,-0.5832801643593527,0.505197083383516
2.0,-0.37672725286483183,-0.4635639705507672,-0.1613897384639466,-0.4201456117077995,0.08683671768593537,0.2587558732438529
5.0,-0.16336659311471902,-0.33003382170179074,-0.6434402769983759,-0.24670020740825488,0.16666722858707173,-0.39674006959012104
7.0,-0.35933902408582896,-0.11615290599348924,0.034517039780287154,-0.2377459650396591,-0.24318611809233973,0.27226300481994625
8.0,0.03259409552838524,-0.15311249355161588,0.08295643167995675,-0.06025919901161532,0.18570658908000112,0.14321563069157206
9.0,-0.47666819999083954,-0.28360950807500573,-0.12360842742893774,-0.38013885403292264,-0.1930586919158338,0.2565304266039849
11.0,-0.4361948153541024,-0.1879265882438927,-0.22621453444837586,-0.3120607017989976,-0.24826822711020974,0.08584616735062173
12.0,-0.6229594733221197,-0.1458191746904096,0.00929976927498015,-0.38438932400626463,-0.47714029863171004,0.3936890932812448
13.0,-0.39425418609200497,-0.5932848928348605,-0.7754779423508048,-0.4937695394634327,0.19903070674285556,-0.2817084028873721
14.0,-0.5145255591359181,-0.07126642807460047,0.10879095402141287,-0.2928959936052593,-0.44325913106131765,0.4016869476266722
15.0,-0.5835613436447479,-0.1812733601811322,-0.6513642071561454,-0.38241735191294,-0.4022879834636157,-0.2689468552432054
16.0,-0.478253844931754,-0.08239603538135361,0.020571588572242124,-0.2803249401565538,-0.3958578095504004,0.3008965287287959
17.0,-0.4777275283647111,0.27606184111583526,0.023512272935390474,-0.10083284362443792,-0.7537893694805464,0.1243451165598284
18.0,-0.3039537263501441,-0.19668517948762188,-0.02784902394974019,-0.250319452918883,-0.10726854686252224,0.22247042896914282
19.0,-0.1609375854135726,-0.1419518300648453,0.008625841959366692,-0.15144470773920893,-0.01898575534872729,0.16007054969857562
20.0,-0.5606233219082123,-0.08195342466820735,-0.013172530370712823,-0.3212883732882098,-0.47866989724000497,0.308115842917497
21.0,-0.4554636503325097,-0.1385051763765245,-0.02320295451741612,-0.2969844133545171,-0.3169584739559852,0.273781458837101
22.0,-0.5482558284263492,-0.2833350842545764,-0.2774655331094339,-0.4157954563404628,-0.26492074417177286,0.13832992323102888
23.0,-0.3345454124982048,-0.08396930330553128,-0.14309752678151982,-0.20925735790186803,-0.25057610919267354,0.0661598311203482
24.0,-0.7381732382491716,-0.11892512935815909,-0.33514912395892116,-0.42854918380366536,-0.6192481088910124,0.0934000598447442
25.0,-0.500781158256401,-0.16166765452553555,-0.044110375929860994,-0.3312244063909683,-0.33911350373086546,0.2871140304611073
26.0,-0.5152601351970412,-0.33871994998896915,-0.23113679387719532,-0.42699004259300516,-0.17654018520807202,0.19585324871580984
27.0,-0.48440262545560053,-0.17089059173146973,-0.10782578502627131,-0.3276466085935351,-0.31351203372413083,0.2198208235672638
28.0,-1.4204027024435775,-0.10215732011027087,0.06911878816595249,-0.7612800112769241,-1.3182453823333067,0.8303987994428766
29.0,-0.4241993168213844,-0.04182994112579466,0.04393331930935497,-0.23301462897358954,-0.3823693756955897,0.2769479482829445
30.0,-0.565923436670032,-0.3379403111568227,-0.1693629831926314,-0.4519318739134274,-0.22798312551320926,0.28256889072079594
31.0,-0.1483716787298467,0.30841262031137023,0.10330541709634036,0.08002047079076177,-0.4567842990412169,0.02328494630557859
32.0,-0.18544198948308904,-0.26246287258119977,-0.052584889074751326,-0.2239524310321444,0.07702088309811073,0.17136754195739307
33.0,-0.44100310045757685,-0.07290016621112787,0.013628977202482032,-0.25695163333435234,-0.36810293424644897,0.27058061053683435
34.0,-0.20610389841379861,-0.18695359123295063,-0.037995780100879006,-0.19652874482337462,-0.01915030718084798,0.15853296472249562
35.0,-0.23477376348358256,-0.4594374456096528,-0.02935954239415467,-0.34710560454661765,0.2246636821260702,0.317746062152463
36.0,-0.37476887311549123,0.11445755104036938,0.03416612665449481,-0.13015566103756093,-0.4892264241558606,0.16432178769205574
37.0,-0.16401933611236302,-0.20810547736074358,0.017537878988200133,-0.1860624067365533,0.04408614124838056,0.20360028572475344
38.0,-0.15426378565221288,-0.2904034099956443,0.025181441425489122,-0.22233359782392859,0.1361396243434314,0.2475150392494177
39.0,-0.5234494610858695,-0.25988136701211617,-0.12536133351907192,-0.39166541404899285,-0.26356809407375337,0.26630408052992094
40.0,-0.44530816170511334,-0.05964208564667562,-0.08290707832992261,-0.2524751236758945,-0.3856660760584377,0.16956804534597186
41.0,-0.37075596744243916,-0.203791435251357,-0.068261958254515,-0.2872737013468981,-0.16696453219108215,0.2190117430923831
44.0,-0.4459824216558221,0.0019760099471358913,-0.06219295902668942,-0.2220032058543431,-0.44795843160295795,0.15981024682765368
45.0,-0.02510165091329583,-0.31966877076414685,-0.07694227837020502,-0.17238521083872133,0.29456711985085104,0.0954429324685163
46.0,-0.6637920544777682,-0.48524796324038866,-0.14994855634339427,-0.5745200088590785,-0.17854409123737958,0.42457145251568423
47.0,0.02893185225908558,-0.24380778678998696,0.04443757993921085,-0.10743796726545068,0.27273963904907256,0.15187554720466154
48.0,-0.4645769966835207,0.0709501349702579,-0.0245357927354211,-0.1968134308566314,-0.5355271316537786,0.17227763812121027
49.0,-0.3808552680116911,-0.16080977297696175,-0.09687404426871775,-0.27083252049432643,-0.22004549503472937,0.17395847622560867
50.0,-0.20018204364828124,-0.013171149814060184,0.0306113609490975,-0.1066765967311707,-0.18701089383422106,0.1372879576802682
51.0,-0.21048898870500235,-0.2543431355468532,0.013297940191737898,-0.2324160621259278,0.04385414684185088,0.24571400231766571
52.0,-0.4775515958937261,-0.027763918071032317,0.027891191435140968,-0.2526577569823792,-0.4497876778226938,0.28054894841752015
53.0,-0.14151725362835293,-0.28901936644800685,-0.0015996243417863761,-0.2152683100381799,0.14750211281965392,0.21366868569639352
54.0,-0.4004229512089512,0.20546188852732733,0.016159026857363756,-0.09748053134081194,-0.6058848397362786,0.1136395581981757
55.0,-0.6065052794073739,-0.18134765438837128,-0.046944307648804126,-0.3939264668978726,-0.42515762501900256,0.34698215924906844
56.0,-0.15785888425292594,-0.27487290328899905,0.022474133536845912,-0.2163658937709625,0.11701401903607311,0.2388400273078084
59.0,-0.39472264131447676,-0.16357681788725087,-0.09713804218367433,-0.2791497296008638,-0.2311458234272259,0.18201168741718948
60.0,-0.38389278279719713,0.015075184894398734,0.027248674488368756,-0.1844087989513992,-0.39896796769159587,0.21165747343976796
61.0,-0.5748756442083298,-0.05720240812242744,-0.07589094584381968,-0.3160390261653786,-0.5176732360859024,0.24014808032155893
62.0,-0.23384866037122926,-0.11960862494788398,-0.046420839142826624,-0.17672864265955662,-0.11424003542334528,0.13030780351673
65.0,-0.39775922788560736,-0.6704485308559156,-0.2268467612296734,-0.5341038793707615,0.27268930297030824,0.30725711814108814
