mutant_id,t0-t1,t1-t2,t2-t3,t3-t4,t4-t5,t5-t6,t6-t7,t7-t8,t8-t9
0,,,,,0.027274511487247223,,,,
1,-1.8021466471702847,,,-0.14213242752178382,,,,,
2,-0.8261366805945075,-0.6283743631727566,-0.3292257548877959,0.17632130359675083,-0.42471061225581014,-0.7660583967878034,0.1610937340481002,,
3,,,,,,,,,
4,,,,,,,,,
5,-0.4378311927691693,-0.6063954564539816,-0.6169078273395768,-0.14213242752178382,1.125886800155357,-1.3050548975204903,1.3397487303897464,-0.6642464738578538,
6,,0.02221320296839266,,,,,,,
7,-1.1561173895874093,-0.697602224673714,-0.5389462858698649,0.08101112379242593,-0.4835511122787434,0.26356102039335505,-0.12658833840368086,-0.21647898605900004,
8,0.7610411430775238,-0.05337976382961524,0.09485691223643902,0.005219359260199089,0.10858461875792098,-0.11629151185808306,-0.06468739222764128,-0.4745906011896614,
9,-0.8401098935079259,-0.8009871058397506,0.019080939380419954,-0.41039641411646316,-0.45823330429445375,-1.30505489752049,0.7897023934704743,-0.8073473174985272,
10,,,,,,,,,
11,-0.8976903729431326,-1.9236969460869207,-0.6169078273395768,-0.14213242752178382,0.7204216920471925,0.4867045717075647,-1.2252006270717903,0.1089434143756278,
12,-0.8547653282260986,-1.6723825178060145,-1.022372935447741,0.7051654328654199,-0.3091977251339658,,,-0.5842037661843175,
13,-1.7449882333303361,,,0.9564798611463259,,,,,
14,-0.7580382610020975,-0.9192889482522587,-0.8835364905935251,-0.2599154631781673,-0.3029671753833297,-0.85703017499353,-0.5320534465118453,0.3966254868274088,0.32110483591500044
15,-0.703534358502175,-0.6709339775915526,-0.6169078273395768,-0.14213242752178382,0.7204216920471925,,,-2.0882811629605915,
16,-0.004104434762734544,-0.934551636833537,-0.47525731027654994,-1.0213818877155898,-0.5380392975628133,-0.49857903165354184,-0.20069631055740267,-0.15342085009186313,
17,0.04700562005442282,-0.6829581705583544,-0.43997711918049853,-0.6175561242368587,-0.5432703469803658,-0.7789618016237111,-0.3272590338658321,-0.4788432505264911,
18,0.36014480065792864,-0.31242585257115946,-0.1614322986567508,-0.1710004115226361,-0.16598531170627495,-0.691104758621738,-0.46306057502489384,-0.8267654033556286,
19,0.33312005562185515,0.08028757748607454,0.07818298842893959,-0.29498944610782185,0.17624047458031855,-0.5135894839281315,-0.3784076896945569,-0.768345159695258,
20,0.08152933344665883,-0.5712552954011575,-0.5239313708814719,-0.6718265355921573,-1.2254884570081208,-0.10108209319455426,-0.6374139621696715,-0.8355181944652236,
21,-0.6623762860086676,-1.0603987443532759,0.16721113142609517,-0.638569313835675,-0.3091977251339658,0.41771170022061344,-0.5684210906827201,-0.9896688742924816,
22,-0.14735303301538724,-0.6801506326964766,-0.5805401831687017,-1.2771123603607684,-0.22403991679365884,-1.1715235048959676,-0.12658833840368086,-0.178738658076153,
23,-1.4173008262648559,-1.7695462662596624,0.8871695694366974,-0.036771911863957556,-0.889016220386908,0.08123946359940036,0.27887676970448355,0.18898612204916437,
24,-0.36706212188096204,-1.2305497655269755,-0.6169078273395768,,,,,,
