0,1,2,3,4,5
1e-08,0.0,0.0,0.0,0.0,0.0
1e-08,0.0016680654067947084,0.0016881969283675795,0.001688821928479846,0.001688847138552365,0.0016888888641387848
1e-08,0.0015119959097501124,0.0015490467989276247,0.0015506313761889574,0.0015506978455611302,0.0015507399943933764
1e-08,0.0017927014653013075,0.0018364647155089116,0.0018383674424000658,0.0018384955520481011,0.0018385477506984024
1e-08,0.001878223441503176,0.00193534726793301,0.0019379227985505535,0.0019381062159128015,0.0019381688005445847
1e-08,0.0021810682184168237,0.0022520031175364335,0.002255211072786521,0.002255526581772626,0.002255587633121803
1e-08,0.0024503676165136875,0.002535538256808195,0.002539334537548593,0.0025398348309734675,0.002539897617871243
1e-08,0.0028699283971140724,0.002971113158330439,0.002975542982914777,0.00297628858937384,0.0029763316797602637
1e-08,0.0030758604146348813,0.0031945002710483295,0.003199593952674718,0.0032006907680968964,0.0032007536779821
1e-08,0.004356373538951402,0.004514091230939715,0.004520459359579338,0.004522801619230484,0.004522837750783362
