0,1,2,3,4,5,6,7
1e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1e-08,0.0004888490556259925,0.00051665476283506,0.0005188361957692445,0.0005190680679229122,0.0005190680593428368,0.0005190754453918388,0.0005190692124385707
1e-08,0.0008013512746325125,0.0008490772199412093,0.0008527752486341947,0.0008531768662585109,0.0008531672773147356,0.0008531786428922759,0.0008531661909544654
1e-08,0.0009677048907642495,0.0010307541037789577,0.0010356854371119054,0.001036159488890197,0.0010361629733570033,0.0010361751981746068,0.001036161652161734
1e-08,0.001250898698597759,0.001335100789401876,0.0013416445746403782,0.0013423557317483873,0.0013423537663011555,0.0013423681270070024,0.001342348615808256
1e-08,0.001549156160666101,0.00165906806582334,0.0016676366204120994,0.0016685587431449138,0.0016685701758054983,0.0016685865688221722,0.0016685642607861006
1e-08,0.0019400101145212213,0.0020803226835214308,0.0020913196841321354,0.0020924204087190723,0.002092433652516402,0.0020924543730828186,0.0020924260421364637
1e-08,0.0024942194691229625,0.00268104016348641,0.0026958155582357886,0.0026972036221370923,0.0026972368569173222,0.0026972615781385586,0.002697229148582203
1e-08,0.002982721314123935,0.0032221304706041374,0.003241015156150021,0.003242649865328775,0.0032427214744696416,0.003242739161070895,0.0032427162552053366
1e-08,0.005175015934016079,0.005543566063249095,0.005573412919777711,0.005575670564304537,0.005575709825535894,0.005575800736729886,0.005575707033682591
